timestamp,parameter,value,unit
2016-11-09T23:30:00+05:30,pm25,270.0,µg/m³
2016-11-10T00:30:00+05:30,pm25,297.0,µg/m³
2016-11-10T01:30:00+05:30,pm25,307.0,µg/m³
2016-11-10T02:30:00+05:30,pm25,309.0,µg/m³
2016-11-10T03:30:00+05:30,pm25,315.0,µg/m³
2016-11-10T04:30:00+05:30,pm25,330.0,µg/m³
2016-11-10T05:30:00+05:30,pm25,334.0,µg/m³
2016-11-10T06:30:00+05:30,pm25,300.0,µg/m³
2016-11-10T07:30:00+05:30,pm25,275.0,µg/m³
2016-11-10T08:30:00+05:30,pm25,249.0,µg/m³
2016-11-10T09:30:00+05:30,pm25,222.0,µg/m³
2016-11-10T10:30:00+05:30,pm25,218.0,µg/m³
2016-11-10T11:30:00+05:30,pm25,218.0,µg/m³
2016-11-10T12:30:00+05:30,pm25,241.0,µg/m³
2016-11-10T13:30:00+05:30,pm25,267.0,µg/m³
2016-11-10T14:30:00+05:30,pm25,274.0,µg/m³
2016-11-10T15:30:00+05:30,pm25,208.0,µg/m³
2016-11-10T16:30:00+05:30,pm25,201.0,µg/m³
2016-11-10T17:30:00+05:30,pm25,179.0,µg/m³
2016-11-10T18:30:00+05:30,pm25,188.0,µg/m³
2016-11-10T19:30:00+05:30,pm25,208.0,µg/m³
2016-11-10T20:30:00+05:30,pm25,227.0,µg/m³
2016-11-10T21:30:00+05:30,pm25,233.0,µg/m³
2016-11-10T22:30:00+05:30,pm25,241.0,µg/m³
2016-11-10T23:30:00+05:30,pm25,266.0,µg/m³
2016-11-11T00:30:00+05:30,pm25,288.0,µg/m³
2016-11-11T01:30:00+05:30,pm25,321.0,µg/m³
2016-11-11T02:30:00+05:30,pm25,334.0,µg/m³
2016-11-11T03:30:00+05:30,pm25,329.0,µg/m³
2016-11-11T04:30:00+05:30,pm25,310.0,µg/m³
2016-11-11T05:30:00+05:30,pm25,300.0,µg/m³
2016-11-11T06:30:00+05:30,pm25,302.0,µg/m³
2016-11-11T07:30:00+05:30,pm25,304.0,µg/m³
2016-11-11T08:30:00+05:30,pm25,309.0,µg/m³
2016-11-11T09:30:00+05:30,pm25,334.0,µg/m³
2016-11-11T10:30:00+05:30,pm25,357.0,µg/m³
2016-11-11T11:30:00+05:30,pm25,351.0,µg/m³
2016-11-11T12:30:00+05:30,pm25,331.0,µg/m³
2016-11-11T13:30:00+05:30,pm25,259.0,µg/m³
2016-11-11T14:30:00+05:30,pm25,227.0,µg/m³
2016-11-11T15:30:00+05:30,pm25,205.0,µg/m³
2016-11-11T16:30:00+05:30,pm25,191.0,µg/m³
2016-11-11T17:30:00+05:30,pm25,184.0,µg/m³
2016-11-11T18:30:00+05:30,pm25,190.0,µg/m³
2016-11-11T19:30:00+05:30,pm25,198.0,µg/m³
2016-11-11T20:30:00+05:30,pm25,208.0,µg/m³
2016-11-11T21:30:00+05:30,pm25,224.0,µg/m³
2016-11-11T22:30:00+05:30,pm25,233.0,µg/m³
2016-11-11T23:30:00+05:30,pm25,233.0,µg/m³
2016-11-12T00:30:00+05:30,pm25,241.0,µg/m³
2016-11-12T01:30:00+05:30,pm25,250.0,µg/m³
2016-11-12T02:30:00+05:30,pm25,266.0,µg/m³
2016-11-12T03:30:00+05:30,pm25,280.0,µg/m³
2016-11-12T04:30:00+05:30,pm25,290.0,µg/m³
2016-11-12T05:30:00+05:30,pm25,296.0,µg/m³
2016-11-12T06:30:00+05:30,pm25,300.0,µg/m³
2016-11-12T07:30:00+05:30,pm25,301.0,µg/m³
2016-11-12T08:30:00+05:30,pm25,299.0,µg/m³
2016-11-12T09:30:00+05:30,pm25,309.0,µg/m³
2016-11-12T10:30:00+05:30,pm25,309.0,µg/m³
2016-11-12T11:30:00+05:30,pm25,,µg/m³
2016-11-12T12:30:00+05:30,pm25,,µg/m³
2016-11-12T13:30:00+05:30,pm25,195.0,µg/m³
2016-11-12T14:30:00+05:30,pm25,171.0,µg/m³
2016-11-12T15:30:00+05:30,pm25,167.0,µg/m³
2016-11-12T16:30:00+05:30,pm25,185.0,µg/m³
2016-11-12T17:30:00+05:30,pm25,181.0,µg/m³
2016-11-12T18:30:00+05:30,pm25,181.0,µg/m³
2016-11-12T19:30:00+05:30,pm25,190.0,µg/m³
2016-11-12T20:30:00+05:30,pm25,203.0,µg/m³
2016-11-12T21:30:00+05:30,pm25,203.0,µg/m³
2016-11-12T22:30:00+05:30,pm25,208.0,µg/m³
2016-11-12T23:30:00+05:30,pm25,216.0,µg/m³
2016-11-13T00:30:00+05:30,pm25,220.0,µg/m³
2016-11-13T01:30:00+05:30,pm25,224.0,µg/m³
2016-11-13T02:30:00+05:30,pm25,228.0,µg/m³
2016-11-13T03:30:00+05:30,pm25,225.0,µg/m³
2016-11-13T04:30:00+05:30,pm25,218.0,µg/m³
2016-11-13T05:30:00+05:30,pm25,207.0,µg/m³
2016-11-13T06:30:00+05:30,pm25,194.0,µg/m³
2016-11-13T07:30:00+05:30,pm25,191.0,µg/m³
2016-11-13T08:30:00+05:30,pm25,203.0,µg/m³
2016-11-13T09:30:00+05:30,pm25,243.0,µg/m³
2016-11-13T10:30:00+05:30,pm25,237.0,µg/m³
2016-11-13T11:30:00+05:30,pm25,196.0,µg/m³
2016-11-13T12:30:00+05:30,pm25,165.0,µg/m³
2016-11-13T13:30:00+05:30,pm25,147.0,µg/m³
2016-11-13T14:30:00+05:30,pm25,120.0,µg/m³
2016-11-13T15:30:00+05:30,pm25,108.0,µg/m³
2016-11-13T16:30:00+05:30,pm25,104.0,µg/m³
2016-11-13T17:30:00+05:30,pm25,104.0,µg/m³
2016-11-13T18:30:00+05:30,pm25,119.0,µg/m³
2016-11-13T19:30:00+05:30,pm25,129.0,µg/m³
2016-11-13T20:30:00+05:30,pm25,144.0,µg/m³
2016-11-13T21:30:00+05:30,pm25,158.0,µg/m³
2016-11-13T22:30:00+05:30,pm25,163.0,µg/m³
2016-11-13T23:30:00+05:30,pm25,175.0,µg/m³
2016-11-14T00:30:00+05:30,pm25,191.0,µg/m³
2016-11-14T01:30:00+05:30,pm25,191.0,µg/m³
2016-11-14T02:30:00+05:30,pm25,191.0,µg/m³
2016-11-14T03:30:00+05:30,pm25,185.0,µg/m³
2016-11-14T04:30:00+05:30,pm25,182.0,µg/m³
2016-11-14T05:30:00+05:30,pm25,183.0,µg/m³
2016-11-14T06:30:00+05:30,pm25,187.0,µg/m³
2016-11-14T07:30:00+05:30,pm25,186.0,µg/m³
2016-11-14T08:30:00+05:30,pm25,199.0,µg/m³
2016-11-14T09:30:00+05:30,pm25,210.0,µg/m³
2016-11-14T10:30:00+05:30,pm25,212.0,µg/m³
2016-11-14T11:30:00+05:30,pm25,210.0,µg/m³
2016-11-14T12:30:00+05:30,pm25,208.0,µg/m³
2016-11-14T13:30:00+05:30,pm25,192.0,µg/m³
2016-11-14T14:30:00+05:30,pm25,157.0,µg/m³
2016-11-14T15:30:00+05:30,pm25,131.0,µg/m³
2016-11-14T16:30:00+05:30,pm25,121.0,µg/m³
2016-11-14T17:30:00+05:30,pm25,107.0,µg/m³
2016-11-14T18:30:00+05:30,pm25,105.0,µg/m³
2016-11-14T19:30:00+05:30,pm25,109.0,µg/m³
2016-11-14T20:30:00+05:30,pm25,117.0,µg/m³
2016-11-14T21:30:00+05:30,pm25,131.0,µg/m³
2016-11-14T22:30:00+05:30,pm25,144.0,µg/m³
2016-11-14T23:30:00+05:30,pm25,159.0,µg/m³
2016-11-15T00:30:00+05:30,pm25,168.0,µg/m³
2016-11-15T01:30:00+05:30,pm25,177.0,µg/m³
2016-11-15T02:30:00+05:30,pm25,192.0,µg/m³
2016-11-15T03:30:00+05:30,pm25,193.0,µg/m³
2016-11-15T04:30:00+05:30,pm25,196.0,µg/m³
2016-11-15T05:30:00+05:30,pm25,196.0,µg/m³
2016-11-15T06:30:00+05:30,pm25,203.0,µg/m³
2016-11-15T07:30:00+05:30,pm25,219.0,µg/m³
2016-11-15T08:30:00+05:30,pm25,248.0,µg/m³
2016-11-15T09:30:00+05:30,pm25,311.0,µg/m³
2016-11-15T10:30:00+05:30,pm25,347.0,µg/m³
2016-11-15T11:30:00+05:30,pm25,339.0,µg/m³
2016-11-15T12:30:00+05:30,pm25,290.0,µg/m³
2016-11-15T13:30:00+05:30,pm25,244.0,µg/m³
2016-11-15T14:30:00+05:30,pm25,176.0,µg/m³
2016-11-15T15:30:00+05:30,pm25,134.0,µg/m³
2016-11-15T16:30:00+05:30,pm25,120.0,µg/m³
2016-11-15T17:30:00+05:30,pm25,108.0,µg/m³
2016-11-15T18:30:00+05:30,pm25,115.0,µg/m³
2016-11-15T19:30:00+05:30,pm25,124.0,µg/m³
2016-11-15T20:30:00+05:30,pm25,147.0,µg/m³
2016-11-15T21:30:00+05:30,pm25,184.0,µg/m³
2016-11-15T22:30:00+05:30,pm25,234.0,µg/m³
2016-11-15T23:30:00+05:30,pm25,273.0,µg/m³
2016-11-16T00:30:00+05:30,pm25,301.0,µg/m³
2016-11-16T01:30:00+05:30,pm25,316.0,µg/m³
2016-11-16T02:30:00+05:30,pm25,336.0,µg/m³
2016-11-16T03:30:00+05:30,pm25,342.0,µg/m³
2016-11-16T04:30:00+05:30,pm25,344.0,µg/m³
2016-11-16T05:30:00+05:30,pm25,337.0,µg/m³
2016-11-16T06:30:00+05:30,pm25,332.0,µg/m³
2016-11-16T07:30:00+05:30,pm25,325.0,µg/m³
2016-11-16T08:30:00+05:30,pm25,331.0,µg/m³
2016-11-16T09:30:00+05:30,pm25,326.0,µg/m³
2016-11-16T10:30:00+05:30,pm25,318.0,µg/m³
2016-11-16T11:30:00+05:30,pm25,300.0,µg/m³
2016-11-16T12:30:00+05:30,pm25,258.0,µg/m³
2016-11-16T13:30:00+05:30,pm25,210.0,µg/m³
2016-11-16T14:30:00+05:30,pm25,177.0,µg/m³
2016-11-16T15:30:00+05:30,pm25,141.0,µg/m³
2016-11-16T16:30:00+05:30,pm25,117.0,µg/m³
2016-11-16T17:30:00+05:30,pm25,106.0,µg/m³
2016-11-16T18:30:00+05:30,pm25,109.0,µg/m³
2016-11-16T19:30:00+05:30,pm25,125.0,µg/m³
2016-11-16T20:30:00+05:30,pm25,134.0,µg/m³
2016-11-16T21:30:00+05:30,pm25,155.0,µg/m³
2016-11-16T22:30:00+05:30,pm25,193.0,µg/m³
2016-11-16T23:30:00+05:30,pm25,225.0,µg/m³
2016-11-17T00:30:00+05:30,pm25,273.0,µg/m³
2016-11-17T01:30:00+05:30,pm25,297.0,µg/m³
2016-11-17T02:30:00+05:30,pm25,309.0,µg/m³
2016-11-17T03:30:00+05:30,pm25,295.0,µg/m³
2016-11-17T04:30:00+05:30,pm25,278.0,µg/m³
2016-11-17T05:30:00+05:30,pm25,258.0,µg/m³
2016-11-17T06:30:00+05:30,pm25,243.0,µg/m³
2016-11-17T07:30:00+05:30,pm25,247.0,µg/m³
2016-11-17T08:30:00+05:30,pm25,252.0,µg/m³
2016-11-17T09:30:00+05:30,pm25,254.0,µg/m³
2016-11-17T10:30:00+05:30,pm25,252.0,µg/m³
2016-11-17T11:30:00+05:30,pm25,237.0,µg/m³
2016-11-17T12:30:00+05:30,pm25,236.0,µg/m³
2016-11-17T13:30:00+05:30,pm25,197.0,µg/m³
2016-11-17T14:30:00+05:30,pm25,,µg/m³
2016-11-17T15:30:00+05:30,pm25,117.0,µg/m³
2016-11-17T16:30:00+05:30,pm25,98.0,µg/m³
2016-11-17T17:30:00+05:30,pm25,95.8,µg/m³
2016-11-17T18:30:00+05:30,pm25,95.3,µg/m³
2016-11-17T19:30:00+05:30,pm25,104.0,µg/m³
2016-11-17T20:30:00+05:30,pm25,132.0,µg/m³
2016-11-17T21:30:00+05:30,pm25,155.0,µg/m³
2016-11-17T22:30:00+05:30,pm25,182.0,µg/m³
2016-11-17T23:30:00+05:30,pm25,199.0,µg/m³
2016-11-18T00:30:00+05:30,pm25,215.0,µg/m³
2016-11-18T01:30:00+05:30,pm25,216.0,µg/m³
2016-11-18T02:30:00+05:30,pm25,222.0,µg/m³
2016-11-18T03:30:00+05:30,pm25,234.0,µg/m³
2016-11-18T04:30:00+05:30,pm25,254.0,µg/m³
2016-11-18T05:30:00+05:30,pm25,244.0,µg/m³
2016-11-18T06:30:00+05:30,pm25,231.0,µg/m³
2016-11-18T07:30:00+05:30,pm25,226.0,µg/m³
2016-11-18T08:30:00+05:30,pm25,232.0,µg/m³
2016-11-18T09:30:00+05:30,pm25,234.0,µg/m³
2016-11-18T10:30:00+05:30,pm25,234.0,µg/m³
2016-11-18T11:30:00+05:30,pm25,,µg/m³
2016-11-18T12:30:00+05:30,pm25,,µg/m³
2016-11-18T13:30:00+05:30,pm25,,µg/m³
2016-11-18T14:30:00+05:30,pm25,,µg/m³
2016-11-18T15:30:00+05:30,pm25,,µg/m³
2016-11-18T16:30:00+05:30,pm25,89.9,µg/m³
2016-11-18T17:30:00+05:30,pm25,103.0,µg/m³
2016-11-18T18:30:00+05:30,pm25,112.0,µg/m³
2016-11-18T19:30:00+05:30,pm25,127.0,µg/m³
2016-11-18T20:30:00+05:30,pm25,147.0,µg/m³
2016-11-18T21:30:00+05:30,pm25,182.0,µg/m³
2016-11-18T22:30:00+05:30,pm25,208.0,µg/m³
2016-11-18T23:30:00+05:30,pm25,226.0,µg/m³
2016-11-19T00:30:00+05:30,pm25,243.0,µg/m³
2016-11-19T01:30:00+05:30,pm25,273.0,µg/m³
2016-11-19T02:30:00+05:30,pm25,290.0,µg/m³
2016-11-19T03:30:00+05:30,pm25,317.0,µg/m³
2016-11-19T04:30:00+05:30,pm25,326.0,µg/m³
2016-11-19T05:30:00+05:30,pm25,310.0,µg/m³
2016-11-19T06:30:00+05:30,pm25,258.0,µg/m³
2016-11-19T07:30:00+05:30,pm25,220.0,µg/m³
2016-11-19T08:30:00+05:30,pm25,194.0,µg/m³
2016-11-19T09:30:00+05:30,pm25,185.0,µg/m³
2016-11-19T10:30:00+05:30,pm25,183.0,µg/m³
2016-11-19T11:30:00+05:30,pm25,179.0,µg/m³
2016-11-19T12:30:00+05:30,pm25,165.0,µg/m³
2016-11-19T13:30:00+05:30,pm25,148.0,µg/m³
2016-11-19T14:30:00+05:30,pm25,128.0,µg/m³
2016-11-19T15:30:00+05:30,pm25,118.0,µg/m³
2016-11-19T16:30:00+05:30,pm25,113.0,µg/m³
2016-11-19T17:30:00+05:30,pm25,112.0,µg/m³
2016-11-19T18:30:00+05:30,pm25,122.0,µg/m³
2016-11-19T19:30:00+05:30,pm25,128.0,µg/m³
2016-11-19T20:30:00+05:30,pm25,181.0,µg/m³
2016-11-19T21:30:00+05:30,pm25,189.0,µg/m³
2016-11-19T22:30:00+05:30,pm25,196.0,µg/m³
2016-11-19T23:30:00+05:30,pm25,201.0,µg/m³
2016-11-20T00:30:00+05:30,pm25,212.0,µg/m³
2016-11-20T01:30:00+05:30,pm25,236.0,µg/m³
2016-11-20T02:30:00+05:30,pm25,250.0,µg/m³
2016-11-20T03:30:00+05:30,pm25,258.0,µg/m³
2016-11-20T04:30:00+05:30,pm25,262.0,µg/m³
2016-11-20T05:30:00+05:30,pm25,267.0,µg/m³
2016-11-20T06:30:00+05:30,pm25,270.0,µg/m³
2016-11-20T07:30:00+05:30,pm25,266.0,µg/m³
2016-11-20T08:30:00+05:30,pm25,278.0,µg/m³
2016-11-20T09:30:00+05:30,pm25,290.0,µg/m³
2016-11-20T10:30:00+05:30,pm25,272.0,µg/m³
2016-11-20T11:30:00+05:30,pm25,250.0,µg/m³
2016-11-20T12:30:00+05:30,pm25,194.0,µg/m³
2016-11-20T13:30:00+05:30,pm25,172.0,µg/m³
2016-11-20T14:30:00+05:30,pm25,167.0,µg/m³
2016-11-20T15:30:00+05:30,pm25,149.0,µg/m³
2016-11-20T16:30:00+05:30,pm25,142.0,µg/m³
2016-11-20T17:30:00+05:30,pm25,136.0,µg/m³
2016-11-20T18:30:00+05:30,pm25,140.0,µg/m³
2016-11-20T19:30:00+05:30,pm25,156.0,µg/m³
2016-11-20T20:30:00+05:30,pm25,167.0,µg/m³
2016-11-20T21:30:00+05:30,pm25,170.0,µg/m³
2016-11-20T22:30:00+05:30,pm25,180.0,µg/m³
2016-11-20T23:30:00+05:30,pm25,186.0,µg/m³
2016-11-21T00:30:00+05:30,pm25,205.0,µg/m³
2016-11-21T01:30:00+05:30,pm25,233.0,µg/m³
2016-11-21T02:30:00+05:30,pm25,250.0,µg/m³
2016-11-21T03:30:00+05:30,pm25,262.0,µg/m³
2016-11-21T04:30:00+05:30,pm25,268.0,µg/m³
2016-11-21T05:30:00+05:30,pm25,273.0,µg/m³
2016-11-21T06:30:00+05:30,pm25,273.0,µg/m³
2016-11-21T07:30:00+05:30,pm25,323.0,µg/m³
2016-11-21T08:30:00+05:30,pm25,318.0,µg/m³
2016-11-21T09:30:00+05:30,pm25,291.0,µg/m³
2016-11-21T10:30:00+05:30,pm25,250.0,µg/m³
2016-11-21T11:30:00+05:30,pm25,213.0,µg/m³
2016-11-21T12:30:00+05:30,pm25,180.0,µg/m³
2016-11-21T13:30:00+05:30,pm25,140.0,µg/m³
2016-11-21T14:30:00+05:30,pm25,114.0,µg/m³
2016-11-21T15:30:00+05:30,pm25,95.7,µg/m³
2016-11-21T16:30:00+05:30,pm25,84.8,µg/m³
2016-11-21T17:30:00+05:30,pm25,82.4,µg/m³
2016-11-21T18:30:00+05:30,pm25,99.1,µg/m³
2016-11-21T19:30:00+05:30,pm25,114.0,µg/m³
2016-11-21T20:30:00+05:30,pm25,122.0,µg/m³
2016-11-21T21:30:00+05:30,pm25,141.0,µg/m³
2016-11-21T22:30:00+05:30,pm25,226.0,µg/m³
2016-11-21T23:30:00+05:30,pm25,213.0,µg/m³
2016-11-22T00:30:00+05:30,pm25,190.0,µg/m³
2016-11-22T01:30:00+05:30,pm25,170.0,µg/m³
2016-11-22T02:30:00+05:30,pm25,169.0,µg/m³
2016-11-22T03:30:00+05:30,pm25,173.0,µg/m³
2016-11-22T04:30:00+05:30,pm25,165.0,µg/m³
2016-11-22T05:30:00+05:30,pm25,141.0,µg/m³
2016-11-22T06:30:00+05:30,pm25,134.0,µg/m³
2016-11-22T07:30:00+05:30,pm25,132.0,µg/m³
2016-11-22T08:30:00+05:30,pm25,130.0,µg/m³
2016-11-22T09:30:00+05:30,pm25,119.0,µg/m³
2016-11-22T10:30:00+05:30,pm25,103.0,µg/m³
2016-11-22T11:30:00+05:30,pm25,88.1,µg/m³
2016-11-22T12:30:00+05:30,pm25,82.0,µg/m³
2016-11-22T13:30:00+05:30,pm25,77.5,µg/m³
2016-11-22T14:30:00+05:30,pm25,70.2,µg/m³
2016-11-22T15:30:00+05:30,pm25,55.1,µg/m³
2016-11-22T16:30:00+05:30,pm25,49.5,µg/m³
2016-11-22T17:30:00+05:30,pm25,52.2,µg/m³
2016-11-22T18:30:00+05:30,pm25,63.6,µg/m³
2016-11-22T19:30:00+05:30,pm25,72.8,µg/m³
2016-11-22T20:30:00+05:30,pm25,89.4,µg/m³
2016-11-22T21:30:00+05:30,pm25,101.0,µg/m³
2016-11-22T22:30:00+05:30,pm25,118.0,µg/m³
2016-11-22T23:30:00+05:30,pm25,130.0,µg/m³
2016-11-23T00:30:00+05:30,pm25,138.0,µg/m³
2016-11-23T01:30:00+05:30,pm25,144.0,µg/m³
2016-11-23T02:30:00+05:30,pm25,148.0,µg/m³
2016-11-23T03:30:00+05:30,pm25,152.0,µg/m³
2016-11-23T04:30:00+05:30,pm25,153.0,µg/m³
2016-11-23T05:30:00+05:30,pm25,143.0,µg/m³
2016-11-23T06:30:00+05:30,pm25,133.0,µg/m³
2016-11-23T07:30:00+05:30,pm25,138.0,µg/m³
2016-11-23T08:30:00+05:30,pm25,147.0,µg/m³
2016-11-23T09:30:00+05:30,pm25,151.0,µg/m³
2016-11-23T10:30:00+05:30,pm25,151.0,µg/m³
2016-11-23T11:30:00+05:30,pm25,146.0,µg/m³
2016-11-23T12:30:00+05:30,pm25,142.0,µg/m³
2016-11-23T13:30:00+05:30,pm25,137.0,µg/m³
2016-11-23T14:30:00+05:30,pm25,135.0,µg/m³
2016-11-23T15:30:00+05:30,pm25,118.0,µg/m³
2016-11-23T16:30:00+05:30,pm25,110.0,µg/m³
2016-11-23T17:30:00+05:30,pm25,105.0,µg/m³
2016-11-23T18:30:00+05:30,pm25,116.0,µg/m³
2016-11-23T19:30:00+05:30,pm25,148.0,µg/m³
2016-11-23T20:30:00+05:30,pm25,181.0,µg/m³
2016-11-23T21:30:00+05:30,pm25,183.0,µg/m³
2016-11-23T22:30:00+05:30,pm25,179.0,µg/m³
2016-11-23T23:30:00+05:30,pm25,183.0,µg/m³
2016-11-24T00:30:00+05:30,pm25,190.0,µg/m³
2016-11-24T01:30:00+05:30,pm25,205.0,µg/m³
2016-11-24T02:30:00+05:30,pm25,243.0,µg/m³
2016-11-24T03:30:00+05:30,pm25,265.0,µg/m³
2016-11-24T04:30:00+05:30,pm25,261.0,µg/m³
2016-11-24T05:30:00+05:30,pm25,244.0,µg/m³
2016-11-25T06:30:00+05:30,pm25,122.0,µg/m³
2016-11-25T07:30:00+05:30,pm25,124.0,µg/m³
2016-11-25T08:30:00+05:30,pm25,133.0,µg/m³
2016-11-25T09:30:00+05:30,pm25,138.0,µg/m³
2016-11-25T10:30:00+05:30,pm25,135.0,µg/m³
2016-11-25T11:30:00+05:30,pm25,129.0,µg/m³
2016-11-25T12:30:00+05:30,pm25,100.0,µg/m³
2016-11-25T13:30:00+05:30,pm25,82.9,µg/m³
2016-11-25T14:30:00+05:30,pm25,65.4,µg/m³
2016-11-25T15:30:00+05:30,pm25,56.7,µg/m³
2016-11-25T16:30:00+05:30,pm25,51.3,µg/m³
2016-11-25T17:30:00+05:30,pm25,52.1,µg/m³
2016-11-25T18:30:00+05:30,pm25,53.5,µg/m³
2016-11-25T19:30:00+05:30,pm25,59.2,µg/m³
2016-11-25T20:30:00+05:30,pm25,74.6,µg/m³
2016-11-25T21:30:00+05:30,pm25,80.3,µg/m³
2016-11-25T22:30:00+05:30,pm25,83.1,µg/m³
2016-11-25T23:30:00+05:30,pm25,88.5,µg/m³
2016-11-26T00:30:00+05:30,pm25,85.7,µg/m³
2016-11-26T01:30:00+05:30,pm25,83.8,µg/m³
2016-11-26T02:30:00+05:30,pm25,83.4,µg/m³
2016-11-26T03:30:00+05:30,pm25,80.2,µg/m³
2016-11-26T04:30:00+05:30,pm25,80.3,µg/m³
2016-11-26T05:30:00+05:30,pm25,81.1,µg/m³
2016-11-26T06:30:00+05:30,pm25,82.9,µg/m³
2016-11-26T07:30:00+05:30,pm25,85.1,µg/m³
2016-11-26T08:30:00+05:30,pm25,87.1,µg/m³
2016-11-26T09:30:00+05:30,pm25,88.8,µg/m³
2016-11-26T10:30:00+05:30,pm25,92.4,µg/m³
2016-11-26T11:30:00+05:30,pm25,91.5,µg/m³
2016-11-26T12:30:00+05:30,pm25,85.4,µg/m³
2016-11-26T13:30:00+05:30,pm25,74.0,µg/m³
2016-11-26T14:30:00+05:30,pm25,61.9,µg/m³
2016-11-26T15:30:00+05:30,pm25,56.3,µg/m³
2016-11-26T16:30:00+05:30,pm25,51.5,µg/m³
2016-11-26T17:30:00+05:30,pm25,48.7,µg/m³
2016-11-26T18:30:00+05:30,pm25,51.3,µg/m³
2016-11-26T19:30:00+05:30,pm25,70.1,µg/m³
2016-11-26T20:30:00+05:30,pm25,90.5,µg/m³
2016-11-26T21:30:00+05:30,pm25,105.0,µg/m³
2016-11-26T22:30:00+05:30,pm25,105.0,µg/m³
2016-11-26T23:30:00+05:30,pm25,113.0,µg/m³
2016-11-27T00:30:00+05:30,pm25,122.0,µg/m³
2016-11-27T01:30:00+05:30,pm25,123.0,µg/m³
2016-11-27T02:30:00+05:30,pm25,116.0,µg/m³
2016-11-27T03:30:00+05:30,pm25,124.0,µg/m³
2016-11-27T04:30:00+05:30,pm25,124.0,µg/m³
2016-11-27T05:30:00+05:30,pm25,119.0,µg/m³
2016-11-27T06:30:00+05:30,pm25,119.0,µg/m³
2016-11-27T07:30:00+05:30,pm25,123.0,µg/m³
2016-11-27T08:30:00+05:30,pm25,134.0,µg/m³
2016-11-27T09:30:00+05:30,pm25,140.0,µg/m³
2016-11-27T10:30:00+05:30,pm25,141.0,µg/m³
2016-11-27T11:30:00+05:30,pm25,136.0,µg/m³
2016-11-27T12:30:00+05:30,pm25,130.0,µg/m³
2016-11-27T13:30:00+05:30,pm25,115.0,µg/m³
2016-11-27T14:30:00+05:30,pm25,79.8,µg/m³
2016-11-27T15:30:00+05:30,pm25,55.4,µg/m³
2016-11-27T16:30:00+05:30,pm25,45.1,µg/m³
2016-11-27T17:30:00+05:30,pm25,43.0,µg/m³
2016-11-27T18:30:00+05:30,pm25,50.5,µg/m³
2016-11-27T19:30:00+05:30,pm25,64.7,µg/m³
2016-11-27T20:30:00+05:30,pm25,69.3,µg/m³
2016-11-27T21:30:00+05:30,pm25,64.6,µg/m³
2016-11-27T22:30:00+05:30,pm25,66.3,µg/m³
2016-11-27T23:30:00+05:30,pm25,64.6,µg/m³
2016-11-28T00:30:00+05:30,pm25,65.8,µg/m³
2016-11-28T01:30:00+05:30,pm25,67.9,µg/m³
2016-11-28T02:30:00+05:30,pm25,68.4,µg/m³
2016-11-28T03:30:00+05:30,pm25,72.2,µg/m³
2016-11-28T04:30:00+05:30,pm25,85.6,µg/m³
2016-11-28T05:30:00+05:30,pm25,78.7,µg/m³
2016-11-28T06:30:00+05:30,pm25,72.0,µg/m³
2016-11-28T07:30:00+05:30,pm25,76.3,µg/m³
2016-11-28T08:30:00+05:30,pm25,83.3,µg/m³
2016-11-28T09:30:00+05:30,pm25,88.2,µg/m³
2016-11-28T10:30:00+05:30,pm25,91.5,µg/m³
2016-11-28T11:30:00+05:30,pm25,89.8,µg/m³
2016-11-28T12:30:00+05:30,pm25,91.4,µg/m³
2016-11-28T13:30:00+05:30,pm25,74.7,µg/m³
2016-11-28T14:30:00+05:30,pm25,57.5,µg/m³
2016-11-28T15:30:00+05:30,pm25,47.2,µg/m³
2016-11-28T16:30:00+05:30,pm25,42.1,µg/m³
2016-11-28T17:30:00+05:30,pm25,41.0,µg/m³
2016-11-28T18:30:00+05:30,pm25,49.5,µg/m³
2016-11-28T19:30:00+05:30,pm25,65.2,µg/m³
2016-11-28T20:30:00+05:30,pm25,86.1,µg/m³
2016-11-28T21:30:00+05:30,pm25,108.0,µg/m³
2016-11-28T22:30:00+05:30,pm25,146.0,µg/m³
