timestamp,parameter,value,unit,hour,day_of_week,is_weekend
2016-11-09 23:30:00+05:30,pm25,270.0,µg/m³,23,2,0
2016-11-10 00:30:00+05:30,pm25,297.0,µg/m³,0,3,0
2016-11-10 01:30:00+05:30,pm25,307.0,µg/m³,1,3,0
2016-11-10 02:30:00+05:30,pm25,309.0,µg/m³,2,3,0
2016-11-10 03:30:00+05:30,pm25,315.0,µg/m³,3,3,0
2016-11-10 04:30:00+05:30,pm25,330.0,µg/m³,4,3,0
2016-11-10 05:30:00+05:30,pm25,334.0,µg/m³,5,3,0
2016-11-10 06:30:00+05:30,pm25,300.0,µg/m³,6,3,0
2016-11-10 07:30:00+05:30,pm25,275.0,µg/m³,7,3,0
2016-11-10 08:30:00+05:30,pm25,249.0,µg/m³,8,3,0
2016-11-10 09:30:00+05:30,pm25,222.0,µg/m³,9,3,0
2016-11-10 10:30:00+05:30,pm25,218.0,µg/m³,10,3,0
2016-11-10 11:30:00+05:30,pm25,218.0,µg/m³,11,3,0
2016-11-10 12:30:00+05:30,pm25,241.0,µg/m³,12,3,0
2016-11-10 13:30:00+05:30,pm25,267.0,µg/m³,13,3,0
2016-11-10 14:30:00+05:30,pm25,274.0,µg/m³,14,3,0
2016-11-10 15:30:00+05:30,pm25,208.0,µg/m³,15,3,0
2016-11-10 16:30:00+05:30,pm25,201.0,µg/m³,16,3,0
2016-11-10 17:30:00+05:30,pm25,179.0,µg/m³,17,3,0
2016-11-10 18:30:00+05:30,pm25,188.0,µg/m³,18,3,0
2016-11-10 19:30:00+05:30,pm25,208.0,µg/m³,19,3,0
2016-11-10 20:30:00+05:30,pm25,227.0,µg/m³,20,3,0
2016-11-10 21:30:00+05:30,pm25,233.0,µg/m³,21,3,0
2016-11-10 22:30:00+05:30,pm25,241.0,µg/m³,22,3,0
2016-11-10 23:30:00+05:30,pm25,266.0,µg/m³,23,3,0
2016-11-11 00:30:00+05:30,pm25,288.0,µg/m³,0,4,0
2016-11-11 01:30:00+05:30,pm25,321.0,µg/m³,1,4,0
2016-11-11 02:30:00+05:30,pm25,334.0,µg/m³,2,4,0
2016-11-11 03:30:00+05:30,pm25,329.0,µg/m³,3,4,0
2016-11-11 04:30:00+05:30,pm25,310.0,µg/m³,4,4,0
2016-11-11 05:30:00+05:30,pm25,300.0,µg/m³,5,4,0
2016-11-11 06:30:00+05:30,pm25,302.0,µg/m³,6,4,0
2016-11-11 07:30:00+05:30,pm25,304.0,µg/m³,7,4,0
2016-11-11 08:30:00+05:30,pm25,309.0,µg/m³,8,4,0
2016-11-11 09:30:00+05:30,pm25,334.0,µg/m³,9,4,0
2016-11-11 10:30:00+05:30,pm25,357.0,µg/m³,10,4,0
2016-11-11 11:30:00+05:30,pm25,351.0,µg/m³,11,4,0
2016-11-11 12:30:00+05:30,pm25,331.0,µg/m³,12,4,0
2016-11-11 13:30:00+05:30,pm25,259.0,µg/m³,13,4,0
2016-11-11 14:30:00+05:30,pm25,227.0,µg/m³,14,4,0
2016-11-11 15:30:00+05:30,pm25,205.0,µg/m³,15,4,0
2016-11-11 16:30:00+05:30,pm25,191.0,µg/m³,16,4,0
2016-11-11 17:30:00+05:30,pm25,184.0,µg/m³,17,4,0
2016-11-11 18:30:00+05:30,pm25,190.0,µg/m³,18,4,0
2016-11-11 19:30:00+05:30,pm25,198.0,µg/m³,19,4,0
2016-11-11 20:30:00+05:30,pm25,208.0,µg/m³,20,4,0
